                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.41047,                0.39138,                0.94866,                0.52706,                0.42283,                0.97578,                0.95339,                 0.9542,                0.97959,                0.90434,                0.33392,                0.24309,                0.84851,                0.39721,                0.22474,                0.86846,               0.006337,               0.006337,               0.006337
                     40,                0.41804,                0.39548,                 0.9494,                0.53252,                 0.4303,                0.97925,                0.96221,                 0.9479,                0.98207,                0.90538,                0.33236,                0.22765,                0.85362,                0.39539,                 0.2091,                0.88222,               0.006238,               0.006238,               0.006238
                     41,                0.40375,                0.38063,                0.94725,                0.52089,                0.41135,                 0.9746,                0.95539,                0.95834,                0.98215,                0.91213,                0.32348,                0.23007,                0.84302,                0.37928,                0.20319,                0.86864,               0.006139,               0.006139,               0.006139
                     42,                 0.4075,                0.38472,                0.94671,                0.52017,                0.41862,                0.97371,                 0.9508,                0.95899,                0.98247,                0.90813,                0.32385,                0.23414,                0.84491,                0.38461,                0.20801,                0.87471,                0.00604,                0.00604,                0.00604
                     43,                 0.4043,                0.38005,                0.94576,                0.51313,                0.40956,                0.97189,                0.96192,                0.95623,                0.98384,                0.90792,                0.32329,                0.22821,                0.84539,                0.39076,                0.19614,                0.87661,               0.005941,               0.005941,               0.005941
                     44,                0.40636,                0.37973,                0.94338,                0.52179,                0.41202,                0.97026,                0.96389,                0.94387,                0.98108,                0.91146,                0.31776,                0.22289,                0.84197,                0.37409,                0.20101,                0.86626,               0.005842,               0.005842,               0.005842
                     45,                0.39641,                0.36835,                 0.9406,                0.50287,                0.38931,                0.96496,                0.95018,                0.95985,                0.98255,                0.91036,                0.32733,                0.22333,                0.85374,                0.37949,                0.19985,                0.88068,               0.005743,               0.005743,               0.005743
                     46,                0.39155,                0.36556,                0.93937,                0.49566,                 0.3895,                 0.9629,                0.96126,                0.95959,                0.98257,                0.90895,                0.32352,                0.22316,                0.84766,                0.38567,                0.19793,                0.87419,               0.005644,               0.005644,               0.005644
                     47,                0.38134,                0.36583,                0.93486,                0.48968,                0.39139,                0.96042,                0.97135,                0.94681,                 0.9838,                0.91454,                 0.3156,                0.22349,                0.83873,                0.37054,                 0.2016,                0.86479,               0.005545,               0.005545,               0.005545
                     48,                0.38548,                0.35548,                0.93704,                 0.4885,                0.37057,                0.96439,                0.97705,                0.94785,                 0.9844,                 0.9157,                0.31164,                0.22116,                0.83802,                0.36338,                0.19825,                0.86324,               0.005446,               0.005446,               0.005446
                     49,                0.38236,                 0.3553,                 0.9346,                0.48352,                0.37281,                0.95953,                0.96563,                0.95862,                0.98417,                0.91645,                 0.3093,                0.21462,                0.83568,                  0.359,                0.19499,                0.86029,               0.005347,               0.005347,               0.005347
                     50,                0.37669,                0.35246,                0.93319,                0.48043,                0.37161,                0.95788,                0.96603,                0.95961,                0.98534,                0.91771,                0.31079,                0.21285,                0.83569,                0.36247,                  0.186,                0.86163,               0.005248,               0.005248,               0.005248
                     51,                  0.375,                0.34324,                0.93215,                0.47451,                0.35521,                 0.9575,                0.96243,                0.95841,                0.98453,                0.91655,                0.30618,                0.21127,                0.83155,                0.35669,                0.19778,                 0.8575,               0.005149,               0.005149,               0.005149
                     52,                0.37477,                0.33672,                0.93062,                0.48163,                0.35063,                0.95708,                0.96499,                0.96452,                0.98649,                0.91959,                0.30567,                0.20487,                0.83554,                0.35814,                0.17776,                 0.8589,                0.00505,                0.00505,                0.00505
                     53,                0.36558,                0.33934,                0.92838,                0.46557,                0.36021,                 0.9525,                0.96832,                0.95798,                0.98608,                0.91726,                0.30769,                0.20956,                0.83666,                0.36144,                 0.1868,                0.86109,               0.004951,               0.004951,               0.004951
                     54,                0.36877,                0.33579,                0.92979,                0.46756,                0.35228,                 0.9514,                 0.9647,                0.95363,                0.98458,                0.91919,                0.30521,                0.21337,                 0.8363,                0.34932,                0.18962,                0.85672,               0.004852,               0.004852,               0.004852
                     55,                0.37275,                0.33953,                0.92852,                0.47035,                 0.3607,                  0.951,                0.98284,                 0.9505,                0.98599,                0.92137,                0.29796,                0.20674,                0.83062,                0.34467,                0.18104,                 0.8541,               0.004753,               0.004753,               0.004753
